 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x01003c  EDAT :0x0000003c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01003d  EDAT :0x0000003d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01003e  EDAT :0x0000003e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01003f  EDAT :0x0000003f  RDAT :0xffffffff
---- [Error      ]LBUS BRAM   ADD :0x00010000    SIZE :0x100 faild read end
---- LBUS BRAM read   ADD :0x00020000    SIZE :0x100
---- [Error      ]Read bram ADD :0x020000  EDAT :0x00000000  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020001  EDAT :0x00000001  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020002  EDAT :0x00000002  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020003  EDAT :0x00000003  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020004  EDAT :0x00000004  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020005  EDAT :0x00000005  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020006  EDAT :0x00000006  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020007  EDAT :0x00000007  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020008  EDAT :0x00000008  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020009  EDAT :0x00000009  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000a  EDAT :0x0000000a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000b  EDAT :0x0000000b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000c  EDAT :0x0000000c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000d  EDAT :0x0000000d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000e  EDAT :0x0000000e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02000f  EDAT :0x0000000f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020010  EDAT :0x00000010  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020011  EDAT :0x00000011  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020012  EDAT :0x00000012  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020013  EDAT :0x00000013  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020014  EDAT :0x00000014  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020015  EDAT :0x00000015  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020016  EDAT :0x00000016  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020017  EDAT :0x00000017  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020018  EDAT :0x00000018  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x020019  EDAT :0x00000019  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02001a  EDAT :0x0000001a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02001b  EDAT :0x0000001b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x02001c  EDAT :0x0000001c  RDAT :0xffffffff
